prov,area,people,land,sig_cd
경남,의령군,25150,482.91,48720
경남,함안군,58842,416.61,48730
경남,창녕군,56085,532.67,48740
경남,고성군,48005,518.02,48820
경남,남해군,39832,357.78,48840
경남,하동군,40765,675.3,48850
경남,산청군,33259,794.71,48860
경남,함양군,36131,724.73,48870
경남,거창군,59588,803.96,48880
경남,합천군,40225,983.12,48890
제주,제주시,488348,978.77,50110
제주,서귀포시,182020,871.51,50130
