store,addr,prov,area,div
인천송도,인천 연수구 해돋이로 168-2 (송도동),인천,연수구,인천 연수구
인천공항T1,인천 중구 공항로 272 (운서동) 인천국제공항 제1여객터미널 면세동3층,인천,중구,인천 중구
동인천이마트,인천 중구 인중로 134 (신생동) 동인천이마트 1층 푸드코트 內,인천,중구,인천 중구
인하대,인천 미추홀구 인하로77번길 8 (용현동) 1층,인천,미추홀구,인천 미추홀구
광주수완,광주 광산구 장신로 136 (수완동),광주,광산구,광주 광산구
광주충장로,광주 동구 충장로안길 38 (황금동),광주,동구,광주 동구
광주용봉DT,광주 북구 설죽로 270 (용봉동),광주,북구,광주 북구
광주터미널유스퀘어,광주 서구 무진대로 904 (광천동),광주,서구,광주 서구
대전관저,"대전 서구 관저로 142 (관저동) 116호,117호,118호",대전,서구,대전 서구
대전시청역,대전 서구 둔산로 121 (둔산동) 1층,대전,서구,대전 서구
유성온천,대전 유성구 대학로 3 (봉명동),대전,유성구,대전 유성구
은행동1,대전 중구 대종로488번길 54 (은행동),대전,중구,대전 중구
울산현대,울산 남구 삼산중로 71 (달동),울산,남구,울산 남구
세종이마트,세종특별자치시 금송로 687 (가람동),세종,세종시,세종 세종시
속초DI,강원 속초시 동해대로 4096 (조양동) 788-23,강원,속초시,강원 속초시
원주단계DT,강원 원주시 북원로 2266 (단계동) KFC원주단계DT,강원,원주시,강원 원주시
춘천이마트,강원 춘천시 경춘로 2341 (온의동) 이마트 춘천점 1층 푸드코트 內,강원,춘천시,강원 춘천시
춘천석사,강원 춘천시 영서로 2027 (석사동),강원,춘천시,강원 춘천시
행신역,경기 고양시 덕양구 충장로 8 (행신동),경기,고양시 덕양구,경기 고양시 덕양구
화정,경기 고양시 덕양구 화신로272번길 57 (화정동),경기,고양시 덕양구,경기 고양시 덕양구
마두역,경기 고양시 일산동구 중앙로 1193 (장항동),경기,고양시 일산동구,경기 고양시 일산동구
일산탄현,"경기 고양시 일산서구 일현로 97-11 (탄현동, 일산 위브더제니스) 상가동 169호",경기,고양시 일산서구,경기 고양시 일산서구
주엽점,경기 고양시 일산서구 중앙로 1419 (주엽동),경기,고양시 일산서구,경기 고양시 일산서구
